Name,Affiliation,Role,Twitter,Threads
Hilary Mason,Fast Forward Labs,Founder & CEO,?,hilaryamason
Hoi Lam,DeepMind,Research Platform Product Lead,hoitab,hoitab
Horace He,Meta,Pytorch,cHHillee,chhilleee
Hugging Face,Hugging Face,,huggingface,huggingface_ai
Ilya Reznik,Meta,Machine Learning engineer,,reznikib
Ilya Sutskever,OpenAI,Co-founder and Chief Scientist,ilyasut,ilyasu2
Irene Teinemaa,DeepMind,Research Engineer,IreneTeinemaa,ireneteinemaa
Ishan Misra,MetaAI (FAIR),ML Researcher,imisra_,ishanmisra
Jacob Goodale,Unify.ai,Machine Learning Engineer,jpgoodale1,jpgoodale
James Bradbury,Google,"JAX, TPUs, and LLMs",jekbradbury,jekbradbury
Jascha Sohl-Dickstein,Google Brain,Senior staff research scientist,jaschasd,jaschasd
Jason Weston,MetaAI,Research Scientist,jaseweston,jase_weston
Jean de Nyandwi,Carnegie Mellon,AI/DL,Jeande_d,nyandwi.de
Jeremy Fox,Google,LLM whisperer,JeremyDanielFox,manyfoxgiven
Jeremy Howard,fast.ai,Co-founder,jeremyphoward,jeremyphoward
Jeremy R Cole,Google DeepMind,(NLP),jeremy_r_cole,jeremy_r_cole
Jesper Dramsch,ECMWF,Scientist for Machine Learning,jesperdramsch,jesperdramsch
Jessy Li,University of Texas,"Assistant Professor, computational linguistics and NLProc",jessyjli,jessyjli
Jigar Doshi,Wadhwani AI,Machine Learning Scientist and Manager,jigarkdoshi,jigarkdoshi
Jim Fan,NVIDIA,Senior AI Scientist,DrJimFan,dr.jimfan
Jimmy Edgell,,Data Scientist in travel,Jimmyedgell,jimmyedgell
Jon Barron,Google,Research scientist,jon_barron,jonbarron
Jonathan Smith,Meta,ML Research,jonathanajsmith,jonathanajsmith
Josh Constine,SignalFire,Investor,JoshConstine,joshsc
JR New,Clubhouse,DS/ML Scientist,jrnewww,jrnewww
Julia Balla,Oxford,,,juliaballa_
Julien Chaumond,Hugging Face,CTO/co-founder,julien_c,chaumond
Jun Wang,Michigan State University (formerly Twitter),Adjunct Professor,wangjun,junwdotcom
Jupyter Meowbooks,,Memes,untitled01ipynb,untitled01ipynb
Justin Johnson,"UMich, Meta","Assistant Professor, Research Scientist",jcjohnss,justin.c.johnson
Kaggle,Kaggle,,kaggle,oficialkaggle
Kai-Wei Chang,UCLAengineering,Associate Professor,kaiwei_chang,kwchang_nlp
Karson Elmgren,Center for Security and Emerging Technology at Georgetown,AI policy/AI Assessment,kelmgren,karsonelmgren
Kate Stafford,AtomwiseInc,"Scientist - AI/ML for proteins, small molecules, and everything in between",kastacholamine,kastacholamine
Kavya Srinet,Facebook AI Research,Researcher,kavyasrinet,kavyasrinet
Khalid Saifullah,"University of Maryland, Adobe","AI/ML PhD Student, Research Scientist Intern",k_saifullaah,khalidsaifullaah
Kristin Lauter,FAIR Laps North America at Meta,Director,KristinLauter,kristin.lauter
Laurence Rouesnel,Meta,Pytorch,_laurencer,laurencerouesnel
Laurens van der Maaten,Meta AI (FAIR team),Research Director,lvdmaaten,lvdmaaten
Lei M. Zhang,DeepMind,Research Scientist,l32zhang,lei.m.zhang
